treatment,problem,arg_type,arg_mut_rate,mem_searching,solutions_found,total_runs,min_solution_size
PROBLEM_for-loop-index__ARGS_NUM__MUT_00001,for-loop-index,Numeric,0.00001,0,2,30,11
PROBLEM_for-loop-index__ARGS_NUM__MUT_0001,for-loop-index,Numeric,0.0001,0,7,30,7
PROBLEM_for-loop-index__ARGS_NUM__MUT_001,for-loop-index,Numeric,0.001,0,7,30,9
PROBLEM_for-loop-index__ARGS_NUM__MUT_0025,for-loop-index,Numeric,0.0025,0,9,30,7
PROBLEM_for-loop-index__ARGS_NUM__MUT_005,for-loop-index,Numeric,0.005,0,8,30,5
PROBLEM_for-loop-index__ARGS_NUM__MUT_0075,for-loop-index,Numeric,0.0075,0,8,30,10
PROBLEM_for-loop-index__ARGS_NUM__MUT_01,for-loop-index,Numeric,0.01,0,8,30,5
PROBLEM_for-loop-index__ARGS_NUM__MUT_025,for-loop-index,Numeric,0.025,0,14,30,6
PROBLEM_for-loop-index__ARGS_NUM__MUT_05,for-loop-index,Numeric,0.05,0,16,30,5
PROBLEM_for-loop-index__ARGS_NUM__MUT_075,for-loop-index,Numeric,0.075,0,18,30,5
PROBLEM_for-loop-index__ARGS_NUM__MUT_1,for-loop-index,Numeric,0.1,0,17,30,6
PROBLEM_for-loop-index__ARGS_NUM__MUT_5,for-loop-index,Numeric,0.5,0,0,30,NONE
PROBLEM_for-loop-index__ARGS_TAG_BF__MUT_00001,for-loop-index,Tag-BitFlips,0.00001,0,3,30,8
PROBLEM_for-loop-index__ARGS_TAG_BF__MUT_0001,for-loop-index,Tag-BitFlips,0.0001,0,5,30,7
PROBLEM_for-loop-index__ARGS_TAG_BF__MUT_001,for-loop-index,Tag-BitFlips,0.001,0,9,30,8
PROBLEM_for-loop-index__ARGS_TAG_BF__MUT_0025,for-loop-index,Tag-BitFlips,0.0025,0,11,30,6
PROBLEM_for-loop-index__ARGS_TAG_BF__MUT_005,for-loop-index,Tag-BitFlips,0.005,0,14,30,6
